0,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01
ANOTHER BROKEN EGG,105621.52000000002,187870.16999999998,189324.87999999998,207131.53,185055.02,198245.40999999997,174920.98,181000.11999999997,205854.85,211473.02,238906.59000000005,239574.87,240849.18000000005,213032.72,216681.82,227496.48000000004,208666.4400010681,235588.79006994248,191053.30001282692,207240.25014066696,246467.97003030777,216989.3099861145,249885.89988446236,104920.30996513367
APPLEBEE'S,4659064.879999999,8490215.959999999,8345434.11,8974928.700000001,8184607.02,9060646.139999999,8604666.49,8399822.2,9102396.569999998,8713823.56,8676437.24,8819446.010000002,8661065.6,8623493.620001294,8244572.259996527,8959752.279993402,8034426.969997101,8998151.199779868,7681423.500541342,8017831.969689965,9089195.419049505,8416102.069989812,8966545.810196346,4097291.529909607
BOB EVANS,570281.8599999999,1024742.7399999999,1029493.9600000002,1164652.76,1380857.73,1184296.81,1006333.5800000001,984114.05,1136766.3800000001,1107420.07,970541.2200000001,946034.5099999999,960930.88,884925.6799999999,833110.7799982453,920955.7099992754,1205481.8199963379,1028966.9600108309,729268.1398243904,775561.1699563563,963978.3399268463,841395.8600787297,932544.5898451507,430975.1501772478
BUFFALO WILD WINGS,3824808.9299999992,7130038.74,7676527.27,7973992.33,7142195.579999999,7742158.94,7633952.650000002,6948182.060000001,8259393.609999999,7547083.08,7186130.510000001,7379025.62,7384539.739999999,7476549.290001678,7843366.600000992,7891012.739993304,7213799.2300074,7991920.929127669,7402139.450289326,7242017.059889175,8265974.539736612,7566476.599576477,8154660.6393298935,3989478.6703409143
CAVA GRILL,426174.59,836157.47,801636.1700000002,846411.0299999999,810506.0699999998,861207.9199999999,988575.4400000001,986222.34,1187227.39,1168746.42,1277096.1899999997,1258701.44,1202876.2300000002,1228328.8899992374,1156546.7899999998,1174252.5500009346,1081060.9600011446,1118827.0300247804,1162105.6000412852,1186020.8298684899,1369410.6501692869,1379700.9599905256,1508912.7396792937,794090.9998820163
CHEESECAKE FACTORY,2489851.5100000007,4378105.83,4056788.93,4448472.42,4270804.2299999995,5258050.15,4553815.490000001,4278609.779999999,4882099.660000001,4806995.180000001,4925082.409999999,4770278.74,4948037.46,4651443.130000305,4323724.900004195,4607266.349987488,4502903.440003814,5720322.480037296,4250148.379935261,4414628.999026451,5116139.119801175,4563145.929137267,4989402.12948267,2470814.3100990932
CHILI'S GRILL & BAR,3813816.1999999993,6948511.569999999,6770305.99,7374804.199999999,7253202.99,7914516.729999999,7396669.83,7233940.99,8593738.270000001,8116853.24,8150109.48,7918131.6899999995,7578127.159999999,7175099.949990502,7030382.82999466,7621798.989990464,7122770.749997522,7937445.839948451,6917807.739329945,7338458.580428816,8417160.951671632,7748091.640440794,9458885.6999263,4282779.430175219
CHIPOTLE MEXICAN,6745555.760000001,13623535.399999999,13053095.059999999,13644891.61,12505817.299999997,12899433.07,13584588.859999998,12626424.809999997,15210916.93,14540982.820000002,15207297.70000168,14739047.390000004,14090842.109999694,14610965.14000778,14098650.759991426,15011860.509990081,13897828.260005575,14347216.929498674,14371027.700617457,14400656.120055176,16008002.941029944,17003552.8608564,16809824.020008832,7953134.77966731
CRACKER BARREL,3478675.8499999996,6354725.809997865,6326117.94,7124648.27,8330306.050000001,8214859.400000001,5879188.71,5801206.510000001,6894291.72,6773640.62,6770028.870000001,6451680.710000001,6314644.450000001,5967677.780000916,6016771.26000923,6579591.950006523,8154835.070000211,7859378.370426875,5103320.220239172,5370029.549140703,6747713.88974883,5898190.619566213,6541647.189578082,3067283.069995705
DENNY'S,1832079.39,3206428.01,3169072.0699999994,3492417.6000000006,3361821.5,3525797.9599999995,3223020.1400000006,3075925.01,3599682.19,3627999.7400000007,3645992.619999999,3672487.55,3760104.8699999996,3408465.49999939,3369856.3199991602,3521081.5200002296,3511355.2699971017,3895782.749953939,3210096.570483016,3159899.4099297933,3737646.740404891,3380798.9500556365,3787487.269910153,1789518.1803708766
FIRST WATCH RESTAURANTS,931817.45,1714002.0599999998,1652689.0699999998,1832744.8499999999,1705121.6800000009,1911276.5399999998,1842403.1499999997,1769312.73,2032749.9300000002,2108110.7100000004,2117448.15,1963730.0099996189,1993679.9000000006,1852927.27,1838212.479999237,1903452.8000016408,1841249.6600005345,2120267.770037407,1833434.429983195,1878884.3802358098,2175744.7396247443,1948160.7397613786,2169603.159876302,1002998.5902176835
FIVE GUYS,1935784.7899999998,3651344.4999999986,3580865.96,3872620.03,3696457.03,4059625.2100000004,3928373.1100000003,3657388.2299999995,4148232.8200000003,3963836.5600000005,3926608.8800000004,3849498.749999999,3782949.98,3731948.3400003817,3683822.870000191,3901703.429990425,3752186.1099986266,4098765.250684017,3703129.630141776,3752795.360876955,4062712.4295859635,3857289.15037957,3885038.0901790597,1831343.739625074
